N_total,error,log10_error
10690465,6.627026415285162E-5,-4.1786812983104085
10700465,1.6439051142909972E-4,-3.7841232534194935
10710464,7.272423674910887E-5,-4.138320828037449
10720464,1.880959418138666E-4,-3.725620574289369
10730463,1.4558356992478693E-4,-3.8368876352814363
10740463,1.814771352025714E-5,-4.7411780851230985
10750462,2.3700311567592612E-4,-3.6252459446566982
10760462,1.1464673573113174E-4,-3.9406383061685712
10770461,1.1032950456099716E-4,-3.957308332033522
10780461,1.1901918801606247E-4,-3.924383016945921
10790460,8.006480254280306E-5,-4.0965583630782385
10800460,3.57850132604622E-5,-4.4462988175182385
10810459,3.3255453694010115E-5,-4.47813712284228
10820459,1.2428940428640335E-5,-4.905565893531226
10830458,1.6354829158212163E-4,-3.7863539881353465
10840458,1.2346570985214021E-4,-3.9084536423216383
10850457,2.4466293688400786E-4,-3.611431815388227
10860457,2.4959385972527057E-4,-3.602766102964909
10870456,1.4299301139319883E-4,-3.8446851876226127
10880456,2.2161872963916992E-4,-3.654393538911079
10890455,1.0011939506682735E-4,-3.9994817831142786
10900455,5.739117756306472E-5,-4.241154864225084
10910454,2.531746731091205E-4,-3.596579742095068
10920454,2.8606067165692066E-4,-3.5435418459921313
10930453,1.49368070828976E-4,-3.82574222812144
10940453,2.1300940032018619E-4,-3.6716012302837924
10950452,5.079832050286388E-5,-4.294150646149076
10960452,1.1745954225043404E-4,-3.930111695971335
10970451,1.3556681930346643E-4,-3.8678465933358575
10980451,2.5453685091141972E-6,-5.594249333213604
10990450,2.599949382758045E-4,-3.58503510703028
11000450,4.099970869141832E-5,-4.3872192289914596
11010449,1.4517608959234074E-4,-3.8381049057653436
11020449,2.3816285699274116E-4,-3.623125968549692
11030448,1.6501814632597988E-4,-3.7824682956896534
11040448,2.2651870828493436E-5,-4.644895923587645
11050447,1.6479103017222332E-4,-3.7830664313083533
11060447,1.0127487785939482E-4,-3.9944982719165076
11070446,1.574470813159521E-4,-3.8028653857109886
11080446,1.4835424149719484E-4,-3.8287000325456972
11090445,3.4456941005284446E-5,-4.462723280674814
11100445,7.67171840223187E-6,-5.115107346739542
11110444,5.325250474144447E-5,-4.273659960287249
11120444,3.397149543879704E-5,-4.468885334892627
11130443,7.532633766630264E-5,-4.123053147262497
11140443,2.2440487593915093E-4,-3.6489677108273675
11150442,3.36090091759817E-5,-4.473544290736312
11160442,9.200902386315263E-6,-5.036169576765466
11170441,5.5264135829460924E-5,-4.257556616692383
11180441,5.202394763287006E-5,-4.283796696159296
11190440,1.1810551754730466E-4,-3.9277298129336953
11200440,3.6945827845700776E-5,-4.4324345977534305
11210439,1.3719842168602564E-5,-4.862650884671486
11220439,6.284438255422274E-5,-4.201733536350898
11230438,9.731789013206356E-5,-4.0118073152152744
11240438,1.4812035855079182E-4,-3.829385245336868
11250437,1.0848227110983798E-4,-3.9646412312927772
11260436,1.5301423634887304E-4,-3.815268160815547
11270436,9.605581441960394E-5,-4.017476341432985
11280435,1.240380197253614E-4,-3.906445175917566
11290435,2.0987761921717655E-4,-3.6780338709398093
11300434,1.3170290319163342E-5,-4.880404651566618
11310434,2.4325812875988873E-4,-3.6139326383501365
11320433,2.2491309196425824E-4,-3.647985263984777
11330433,1.3173184671278398E-4,-3.8803092198775357
11340432,9.189261216003114E-5,-4.036719402945816
11350432,8.429383882977569E-5,-4.074204167486953
11360431,9.522515617895956E-5,-4.021248306379227
11370431,7.316377047203307E-5,-4.135703921388575
11380430,2.944474115475877E-4,-3.5309922591590195
11390430,3.08047762463333E-4,-3.5113819414018383
11400429,7.482630206034838E-6,-5.125945717218083
11410429,3.693262101335008E-5,-4.432589870490284
11420428,5.6989985235568205E-5,-4.244201455539103
11430428,2.2260468072739846E-5,-4.652465707958596
11440427,1.703501675592476E-4,-3.7686574349166446
11450427,4.673959416789343E-5,-4.330315062834028
11460427,2.684499502479211E-4,-3.571136672188936
11470426,1.461355850215202E-4,-3.8352440174900146
11480426,3.201275035299231E-4,-3.4946770121471626
11490425,6.306852577467718E-7,-6.200187320511446
11500425,2.5981240958193496E-5,-4.585340109289757
11510424,1.1369903725675155E-4,-3.944243212672428
11520424,2.674753296735669E-4,-3.572716268523978
11530423,1.6507917994898415E-4,-3.782307697200217
11540423,2.71191078757129E-4,-3.5667246013472966
11550422,2.643112726249355E-5,-4.57788431422581
11560422,1.831819630341695E-4,-3.7371172912597213
11570421,1.2034227399127106E-4,-3.919581786325083
11580421,1.4596811393947177E-4,-3.8357420034795098
11590420,1.4100490702704754E-4,-3.8507657734603122
